Date,Open,High,Low,Close
12/30/2021,"0.10188%","0.10188%","0.10188%","0.10188%"
12/29/2021,"0.10425%","0.10425%","0.10425%","0.10425%"
12/24/2021,"0.10125%","0.10125%","0.10125%","0.10125%"
12/23/2021,"0.10188%","0.10188%","0.10188%","0.10188%"
12/22/2021,"0.10275%","0.10275%","0.10275%","0.10275%"
12/21/2021,"0.10425%","0.10425%","0.10425%","0.10425%"
12/20/2021,"0.10350%","0.10350%","0.10350%","0.10350%"
12/17/2021,"0.10250%","0.10250%","0.10250%","0.10250%"
12/16/2021,"0.10388%","0.10388%","0.10388%","0.10388%"
12/15/2021,"0.10863%","0.10863%","0.10863%","0.10863%"
12/14/2021,"0.10750%","0.10750%","0.10750%","0.10750%"
12/13/2021,"0.10975%","0.10975%","0.10975%","0.10975%"
12/10/2021,"0.10863%","0.10863%","0.10863%","0.10863%"
12/09/2021,"0.10463%","0.10463%","0.10463%","0.10463%"
12/08/2021,"0.10138%","0.10138%","0.10138%","0.10138%"
12/07/2021,"0.10200%","0.10200%","0.10200%","0.10200%"
12/06/2021,"0.10313%","0.10313%","0.10313%","0.10313%"
12/03/2021,"0.10413%","0.10413%","0.10413%","0.10413%"
12/02/2021,"0.10350%","0.10350%","0.10350%","0.10350%"
12/01/2021,"0.10263%","0.10263%","0.10263%","0.10263%"
11/30/2021,"0.09400%","0.09400%","0.09400%","0.09400%"
11/29/2021,"0.09925%","0.09925%","0.09925%","0.09925%"
11/26/2021,"0.09038%","0.09038%","0.09038%","0.09038%"
11/25/2021,"0.09300%","0.09300%","0.09300%","0.09300%"
11/24/2021,"0.09163%","0.09163%","0.09163%","0.09163%"
11/23/2021,"0.09200%","0.09200%","0.09200%","0.09200%"
11/22/2021,"0.09238%","0.09238%","0.09238%","0.09238%"
11/19/2021,"0.09338%","0.09338%","0.09338%","0.09338%"
11/18/2021,"0.09113%","0.09113%","0.09113%","0.09113%"
11/17/2021,"0.08875%","0.08875%","0.08875%","0.08875%"
11/16/2021,"0.08888%","0.08888%","0.08888%","0.08888%"
11/15/2021,"0.09113%","0.09113%","0.09113%","0.09113%"
11/12/2021,"0.08913%","0.08913%","0.08913%","0.08913%"
11/11/2021,"0.08950%","0.08950%","0.08950%","0.08950%"
11/10/2021,"0.08925%","0.08925%","0.08925%","0.08925%"
11/09/2021,"0.08925%","0.08925%","0.08925%","0.08925%"
11/08/2021,"0.09113%","0.09113%","0.09113%","0.09113%"
11/05/2021,"0.08863%","0.08863%","0.08863%","0.08863%"
11/04/2021,"0.08963%","0.08963%","0.08963%","0.08963%"
11/03/2021,"0.08550%","0.08550%","0.08550%","0.08550%"
11/02/2021,"0.08088%","0.08088%","0.08088%","0.08088%"
11/01/2021,"0.08113%","0.08113%","0.08113%","0.08113%"
10/29/2021,"0.08750%","0.08750%","0.08750%","0.08750%"
10/28/2021,"0.08638%","0.08638%","0.08638%","0.08638%"
10/27/2021,"0.08700%","0.08700%","0.08700%","0.08700%"
10/26/2021,"0.08700%","0.08700%","0.08700%","0.08700%"
10/25/2021,"0.08775%","0.08775%","0.08775%","0.08775%"
10/22/2021,"0.08788%","0.08788%","0.08788%","0.08788%"
10/21/2021,"0.08925%","0.08925%","0.08925%","0.08925%"
10/20/2021,"0.08575%","0.08575%","0.08575%","0.08575%"
10/19/2021,"0.08563%","0.08563%","0.08563%","0.08563%"
10/18/2021,"0.08563%","0.08563%","0.08563%","0.08563%"
10/15/2021,"0.08038%","0.08038%","0.08038%","0.08038%"
10/14/2021,"0.08588%","0.08588%","0.08588%","0.08588%"
10/13/2021,"0.09025%","0.09025%","0.09025%","0.09025%"
10/12/2021,"0.08788%","0.08788%","0.08788%","0.08788%"
10/11/2021,"0.08538%","0.08538%","0.08538%","0.08538%"
10/08/2021,"0.08363%","0.08363%","0.08363%","0.08363%"
10/07/2021,"0.08600%","0.08600%","0.08600%","0.08600%"
10/06/2021,"0.08713%","0.08713%","0.08713%","0.08713%"
10/05/2021,"0.08575%","0.08575%","0.08575%","0.08575%"
10/04/2021,"0.07788%","0.07788%","0.07788%","0.07788%"
10/01/2021,"0.07525%","0.07525%","0.07525%","0.07525%"
09/30/2021,"0.08025%","0.08025%","0.08025%","0.08025%"
09/29/2021,"0.08238%","0.08238%","0.08238%","0.08238%"
09/28/2021,"0.08413%","0.08413%","0.08413%","0.08413%"
09/27/2021,"0.08675%","0.08675%","0.08675%","0.08675%"
09/24/2021,"0.08513%","0.08513%","0.08513%","0.08513%"
09/23/2021,"0.08600%","0.08600%","0.08600%","0.08600%"
09/22/2021,"0.08325%","0.08325%","0.08325%","0.08325%"
09/21/2021,"0.08175%","0.08175%","0.08175%","0.08175%"
09/20/2021,"0.08350%","0.08350%","0.08350%","0.08350%"
09/17/2021,"0.08350%","0.08350%","0.08350%","0.08350%"
09/16/2021,"0.08738%","0.08738%","0.08738%","0.08738%"
09/15/2021,"0.08413%","0.08413%","0.08413%","0.08413%"
09/14/2021,"0.08463%","0.08463%","0.08463%","0.08463%"
09/13/2021,"0.08375%","0.08375%","0.08375%","0.08375%"
09/10/2021,"0.08388%","0.08388%","0.08388%","0.08388%"
09/09/2021,"0.08263%","0.08263%","0.08263%","0.08263%"
09/08/2021,"0.08475%","0.08475%","0.08475%","0.08475%"
09/07/2021,"0.08313%","0.08313%","0.08313%","0.08313%"
09/06/2021,"0.08300%","0.08300%","0.08300%","0.08300%"
09/03/2021,"0.08288%","0.08288%","0.08288%","0.08288%"
09/02/2021,"0.08288%","0.08288%","0.08288%","0.08288%"
09/01/2021,"0.08325%","0.08325%","0.08325%","0.08325%"
08/31/2021,"0.08250%","0.08250%","0.08250%","0.08250%"
08/30/2021,"0.08600%","0.08600%","0.08600%","0.08600%"
08/27/2021,"0.08600%","0.08600%","0.08600%","0.08600%"
08/26/2021,"0.08463%","0.08463%","0.08463%","0.08463%"
08/25/2021,"0.08788%","0.08788%","0.08788%","0.08788%"
08/24/2021,"0.08888%","0.08888%","0.08888%","0.08888%"
08/23/2021,"0.08438%","0.08438%","0.08438%","0.08438%"
08/20/2021,"0.08588%","0.08588%","0.08588%","0.08588%"
08/19/2021,"0.08788%","0.08788%","0.08788%","0.08788%"
08/18/2021,"0.08838%","0.08838%","0.08838%","0.08838%"
08/17/2021,"0.08650%","0.08650%","0.08650%","0.08650%"
08/16/2021,"0.08850%","0.08850%","0.08850%","0.08850%"
08/13/2021,"0.09275%","0.09275%","0.09275%","0.09275%"
08/12/2021,"0.09550%","0.09550%","0.09550%","0.09550%"
08/11/2021,"0.09663%","0.09663%","0.09663%","0.09663%"
08/10/2021,"0.09650%","0.09650%","0.09650%","0.09650%"
08/09/2021,"0.09525%","0.09525%","0.09525%","0.09525%"
08/06/2021,"0.09513%","0.09513%","0.09513%","0.09513%"
08/05/2021,"0.09575%","0.09575%","0.09575%","0.09575%"
08/04/2021,"0.08925%","0.08925%","0.08925%","0.08925%"
08/03/2021,"0.09038%","0.09038%","0.09038%","0.09038%"
08/02/2021,"0.08963%","0.08963%","0.08963%","0.08963%"
07/30/2021,"0.09050%","0.09050%","0.09050%","0.09050%"
07/29/2021,"0.09575%","0.09575%","0.09575%","0.09575%"
07/28/2021,"0.09200%","0.09200%","0.09200%","0.09200%"
07/27/2021,"0.09013%","0.09013%","0.09013%","0.09013%"
07/26/2021,"0.08725%","0.08725%","0.08725%","0.08725%"
07/23/2021,"0.08613%","0.08613%","0.08613%","0.08613%"
07/22/2021,"0.08925%","0.08925%","0.08925%","0.08925%"
07/21/2021,"0.08663%","0.08663%","0.08663%","0.08663%"
07/20/2021,"0.08900%","0.08900%","0.08900%","0.08900%"
07/19/2021,"0.08525%","0.08525%","0.08525%","0.08525%"
07/16/2021,"0.08363%","0.08363%","0.08363%","0.08363%"
07/15/2021,"0.08913%","0.08913%","0.08913%","0.08913%"
07/14/2021,"0.09113%","0.09113%","0.09113%","0.09113%"
07/13/2021,"0.09313%","0.09313%","0.09313%","0.09313%"
07/12/2021,"0.09575%","0.09575%","0.09575%","0.09575%"
07/09/2021,"0.10013%","0.10013%","0.10013%","0.10013%"
07/08/2021,"0.10038%","0.10038%","0.10038%","0.10038%"
07/07/2021,"0.10288%","0.10288%","0.10288%","0.10288%"
07/06/2021,"0.10213%","0.10213%","0.10213%","0.10213%"
07/05/2021,"0.10413%","0.10413%","0.10413%","0.10413%"
07/02/2021,"0.10288%","0.10288%","0.10288%","0.10288%"
07/01/2021,"0.10250%","0.10250%","0.10250%","0.10250%"
06/30/2021,"0.10050%","0.10050%","0.10050%","0.10050%"
06/29/2021,"0.10025%","0.10025%","0.10025%","0.10025%"
06/28/2021,"0.10425%","0.10425%","0.10425%","0.10425%"
06/25/2021,"0.09613%","0.09613%","0.09613%","0.09613%"
06/24/2021,"0.09500%","0.09500%","0.09500%","0.09500%"
06/23/2021,"0.09150%","0.09150%","0.09150%","0.09150%"
06/22/2021,"0.09075%","0.09075%","0.09075%","0.09075%"
06/21/2021,"0.09588%","0.09588%","0.09588%","0.09588%"
06/18/2021,"0.09100%","0.09100%","0.09100%","0.09100%"
06/17/2021,"0.09338%","0.09338%","0.09338%","0.09338%"
06/16/2021,"0.08250%","0.08250%","0.08250%","0.08250%"
06/15/2021,"0.08175%","0.08175%","0.08175%","0.08175%"
06/14/2021,"0.07463%","0.07463%","0.07463%","0.07463%"
06/11/2021,"0.07288%","0.07288%","0.07288%","0.07288%"
06/10/2021,"0.07263%","0.07263%","0.07263%","0.07263%"
06/09/2021,"0.07463%","0.07463%","0.07463%","0.07463%"
06/08/2021,"0.07700%","0.07700%","0.07700%","0.07700%"
06/07/2021,"0.08125%","0.08125%","0.08125%","0.08125%"
06/04/2021,"0.08125%","0.08125%","0.08125%","0.08125%"
06/03/2021,"0.08000%","0.08000%","0.08000%","0.08000%"
06/02/2021,"0.08550%","0.08550%","0.08550%","0.08550%"
06/01/2021,"0.08875%","0.08875%","0.08875%","0.08875%"
05/28/2021,"0.08588%","0.08588%","0.08588%","0.08588%"
05/27/2021,"0.09213%","0.09213%","0.09213%","0.09213%"
05/26/2021,"0.09250%","0.09250%","0.09250%","0.09250%"
05/25/2021,"0.09000%","0.09000%","0.09000%","0.09000%"
05/24/2021,"0.09100%","0.09100%","0.09100%","0.09100%"
05/21/2021,"0.09163%","0.09163%","0.09163%","0.09163%"
05/20/2021,"0.09250%","0.09250%","0.09250%","0.09250%"
05/19/2021,"0.09650%","0.09650%","0.09650%","0.09650%"
05/18/2021,"0.09925%","0.09925%","0.09925%","0.09925%"
05/17/2021,"0.09750%","0.09750%","0.09750%","0.09750%"
05/14/2021,"0.09750%","0.09750%","0.09750%","0.09750%"
05/13/2021,"0.10088%","0.10088%","0.10088%","0.10088%"
05/12/2021,"0.09813%","0.09813%","0.09813%","0.09813%"
05/11/2021,"0.09375%","0.09375%","0.09375%","0.09375%"
05/10/2021,"0.09813%","0.09813%","0.09813%","0.09813%"
05/07/2021,"0.10138%","0.10138%","0.10138%","0.10138%"
05/06/2021,"0.09513%","0.09513%","0.09513%","0.09513%"
05/05/2021,"0.10563%","0.10563%","0.10563%","0.10563%"
05/04/2021,"0.10838%","0.10838%","0.10838%","0.10838%"
04/30/2021,"0.10725%","0.10725%","0.10725%","0.10725%"
04/29/2021,"0.11013%","0.11013%","0.11013%","0.11013%"
04/28/2021,"0.11325%","0.11325%","0.11325%","0.11325%"
04/27/2021,"0.11025%","0.11025%","0.11025%","0.11025%"
04/26/2021,"0.11100%","0.11100%","0.11100%","0.11100%"
04/23/2021,"0.11100%","0.11100%","0.11100%","0.11100%"
04/22/2021,"0.10613%","0.10613%","0.10613%","0.10613%"
04/21/2021,"0.11025%","0.11025%","0.11025%","0.11025%"
04/20/2021,"0.10750%","0.10750%","0.10750%","0.10750%"
04/19/2021,"0.11375%","0.11375%","0.11375%","0.11375%"
04/16/2021,"0.11588%","0.11588%","0.11588%","0.11588%"
04/15/2021,"0.11500%","0.11500%","0.11500%","0.11500%"
04/14/2021,"0.11563%","0.11563%","0.11563%","0.11563%"
04/13/2021,"0.11463%","0.11463%","0.11463%","0.11463%"
04/12/2021,"0.11225%","0.11225%","0.11225%","0.11225%"
04/09/2021,"0.11125%","0.11125%","0.11125%","0.11125%"
04/08/2021,"0.11050%","0.11050%","0.11050%","0.11050%"
04/07/2021,"0.11250%","0.11250%","0.11250%","0.11250%"
04/06/2021,"0.11013%","0.11013%","0.11013%","0.11013%"
04/01/2021,"0.11038%","0.11038%","0.11038%","0.11038%"
03/31/2021,"0.11113%","0.11113%","0.11113%","0.11113%"
03/30/2021,"0.11513%","0.11513%","0.11513%","0.11513%"
03/29/2021,"0.10850%","0.10850%","0.10850%","0.10850%"
03/26/2021,"0.10725%","0.10725%","0.10725%","0.10725%"
03/25/2021,"0.10913%","0.10913%","0.10913%","0.10913%"
03/24/2021,"0.11025%","0.11025%","0.11025%","0.11025%"
03/23/2021,"0.10863%","0.10863%","0.10863%","0.10863%"
03/22/2021,"0.10738%","0.10738%","0.10738%","0.10738%"
03/19/2021,"0.10838%","0.10838%","0.10838%","0.10838%"
03/18/2021,"0.11088%","0.11088%","0.11088%","0.11088%"
03/17/2021,"0.11025%","0.11025%","0.11025%","0.11025%"
03/16/2021,"0.10813%","0.10813%","0.10813%","0.10813%"
03/15/2021,"0.10750%","0.10750%","0.10750%","0.10750%"
03/12/2021,"0.10613%","0.10613%","0.10613%","0.10613%"
03/11/2021,"0.10600%","0.10600%","0.10600%","0.10600%"
